"monthly_inventory_id","product__product_id","inventory_month","monthly_quantity_eom","wdf__client_id","monthly_quantity_bom","date"
"M-CHO8NBAF","P-9E2QWWYF","2021-04-01","8646","merchant__clothing","8884","2021-04-01 00:00:00"
"M-8JT48LSB","P-VVFU1JSD","2021-04-01","9519","merchant__clothing","9732","2021-04-01 00:00:00"
"M-L6IG87YT","P-UWZBNWBF","2021-04-01","9701","merchant__clothing","9935","2021-04-01 00:00:00"
"M-FSVI0ZWN","P-QJM9CGOC","2021-04-01","9568","merchant__clothing","9755","2021-04-01 00:00:00"
"M-V3YCOHW8","P-AP2VLH9R","2021-04-01","8642","merchant__clothing","8923","2021-04-01 00:00:00"
"M-SUWSK7PQ","P-F7E5IX2B","2021-04-01","9185","merchant__clothing","9369","2021-04-01 00:00:00"
"M-ZEE875QN","P-WELC80UL","2021-04-01","8822","merchant__clothing","8977","2021-04-01 00:00:00"
"M-A2BRDD8W","P-IZ01YCC0","2021-04-01","8815","merchant__clothing","9034","2021-04-01 00:00:00"
"M-45MMHZTA","P-Z8YAFBZT","2021-04-01","8573","merchant__clothing","8759","2021-04-01 00:00:00"
"M-8I3LQ88Y","P-SF7F2R8W","2021-04-01","9417","merchant__clothing","9603","2021-04-01 00:00:00"
"M-NIKK5XX5","P-HYD6V6R6","2021-04-01","9003","merchant__clothing","9209","2021-04-01 00:00:00"
"M-B7B98NQU","P-LYKV1PFD","2021-04-01","9220","merchant__clothing","9444","2021-04-01 00:00:00"
"M-JCZKSPVR","P-86QVHCKN","2021-04-01","8992","merchant__clothing","9182","2021-04-01 00:00:00"
"M-PLGCL2I8","P-CT29LLIB","2021-04-01","8945","merchant__clothing","9163","2021-04-01 00:00:00"
"M-GIPJ5417","P-2C2DM5TS","2021-04-01","9412","merchant__clothing","9697","2021-04-01 00:00:00"
"M-7Q81JPPW","P-2CM3ADX9","2021-04-01","10077","merchant__clothing","10315","2021-04-01 00:00:00"
"M-W1N04SG6","P-LC1GVCVA","2021-04-01","8673","merchant__clothing","8862","2021-04-01 00:00:00"
"M-AZ0E49DQ","P-81930YFA","2021-04-01","9365","merchant__clothing","9589","2021-04-01 00:00:00"
"M-0I4P4J3J","P-J8QNCOER","2021-04-01","9292","merchant__clothing","9462","2021-04-01 00:00:00"
"M-7NE6PLTA","P-5MBMB0WZ","2021-04-01","9227","merchant__clothing","9406","2021-04-01 00:00:00"
"M-4A0HKG08","P-1FJ5TPIN","2021-04-01","8913","merchant__clothing","9072","2021-04-01 00:00:00"
"M-TP3GRE7U","P-SLNK6RR7","2021-04-01","9341","merchant__clothing","9568","2021-04-01 00:00:00"
"M-XLDPQVPB","P-2TVAJ7B5","2021-04-01","9442","merchant__clothing","9660","2021-04-01 00:00:00"
"M-EYAA0WAM","P-CEAA4SO6","2021-04-01","9189","merchant__clothing","9409","2021-04-01 00:00:00"
"M-M0R9LB4M","P-6H7X4WKL","2021-04-01","8885","merchant__clothing","9148","2021-04-01 00:00:00"
"M-0ROS7K7Z","P-6NI7O7PQ","2021-04-01","8930","merchant__clothing","9157","2021-04-01 00:00:00"
"M-NYMR5VL8","P-EBTAOP0H","2021-04-01","9087","merchant__clothing","9381","2021-04-01 00:00:00"
"M-OM58Q9GJ","P-NXER8PK7","2021-04-01","9558","merchant__clothing","9789","2021-04-01 00:00:00"
"M-P6N2YMSB","P-72ZJFVDT","2021-04-01","9493","merchant__clothing","9694","2021-04-01 00:00:00"
"M-S591L1JK","P-6FVM832Y","2021-04-01","9457","merchant__clothing","9701","2021-04-01 00:00:00"
"M-KVQAFCBF","P-IEU0ZQOA","2021-04-01","8908","merchant__clothing","9109","2021-04-01 00:00:00"
"M-N1KOOOOY","P-M35CA2E9","2021-04-01","9225","merchant__clothing","9482","2021-04-01 00:00:00"
"M-MWNI807E","P-KG7R8M2L","2021-04-01","9312","merchant__clothing","9487","2021-04-01 00:00:00"
"M-3UPASHLS","P-TYYC4TYQ","2021-04-01","8592","merchant__clothing","8784","2021-04-01 00:00:00"
"M-B0YAV58D","P-SYY6JT1Q","2021-04-01","9718","merchant__clothing","9993","2021-04-01 00:00:00"
"M-85TSOWWI","P-WKDWO58J","2021-04-01","9338","merchant__clothing","9554","2021-04-01 00:00:00"
"M-XZO0R03W","P-G75MYA3L","2021-04-01","8892","merchant__clothing","9120","2021-04-01 00:00:00"
"M-FSU8XZ36","P-9NPZMJMF","2021-04-01","9168","merchant__clothing","9442","2021-04-01 00:00:00"
"M-KYC0T1XO","P-OPA3WYFJ","2021-04-01","8879","merchant__clothing","9119","2021-04-01 00:00:00"
"M-28ZKBIH5","P-2J8Y2UV0","2021-04-01","8630","merchant__clothing","8886","2021-04-01 00:00:00"
"M-SXYYNAC2","P-HY4II61Y","2021-04-01","9440","merchant__clothing","9740","2021-04-01 00:00:00"
"M-D7F3GBC9","P-1ILMUXUR","2021-04-01","8655","merchant__clothing","8872","2021-04-01 00:00:00"
"M-5925WR6C","P-Q3DDHVO9","2021-04-01","8775","merchant__clothing","8985","2021-04-01 00:00:00"
"M-SIHFEL1G","P-7YUZFE6E","2021-04-01","9923","merchant__clothing","10156","2021-04-01 00:00:00"
"M-RZG6TVRQ","P-W9FP7F15","2021-04-01","8470","merchant__clothing","8727","2021-04-01 00:00:00"
"M-WDMI90TC","P-T4L7LL0Z","2021-04-01","8778","merchant__clothing","8964","2021-04-01 00:00:00"
"M-1TFSS08A","P-SRSOUJM9","2021-04-01","8824","merchant__clothing","9078","2021-04-01 00:00:00"
"M-ZNU34WDC","P-HSDMHDL8","2021-04-01","8907","merchant__clothing","9140","2021-04-01 00:00:00"
"M-VAF7Z354","P-PUEZLWDA","2021-04-01","9363","merchant__clothing","9527","2021-04-01 00:00:00"
"M-SVQBXOVZ","P-M12YKA1Z","2021-04-01","8744","merchant__clothing","8955","2021-04-01 00:00:00"
"M-WJ2693I9","P-N1M7DVQ3","2021-04-01","8772","merchant__clothing","9008","2021-04-01 00:00:00"
"M-3WWBITZ2","P-8QKO0364","2021-04-01","9101","merchant__clothing","9295","2021-04-01 00:00:00"
"M-0716ABTF","P-3W7QPD97","2021-04-01","178","merchant__clothing","178","2021-04-01 00:00:00"
"M-T0XDLV7C","P-ULHRG4GB","2021-04-01","24","merchant__clothing","24","2021-04-01 00:00:00"
"M-ZQG8VL2C","P-3Y7S5IDJ","2021-04-01","843","merchant__clothing","843","2021-04-01 00:00:00"
"M-RV6BJNMK","P-0UMDKDI8","2021-04-01","798","merchant__clothing","798","2021-04-01 00:00:00"
"M-08WEWT2T","P-B133E5GU","2021-04-01","934","merchant__clothing","934","2021-04-01 00:00:00"
"M-577U4LHE","P-71K5EPIZ","2021-04-01","299","merchant__clothing","299","2021-04-01 00:00:00"
"M-52YFGZJ1","P-C62GOWS4","2021-04-01","26","merchant__clothing","26","2021-04-01 00:00:00"
"M-D3H02FMJ","P-S9SV88ZB","2021-04-01","9","merchant__clothing","9","2021-04-01 00:00:00"
"M-R4MLDWZ2","P-PICZSIFB","2021-04-01","117","merchant__clothing","117","2021-04-01 00:00:00"
"M-ZP91G7LP","P-8Q7E4XWL","2021-04-01","970","merchant__clothing","970","2021-04-01 00:00:00"
"M-R28BM1XD","P-ZB7UQRXA","2021-04-01","521","merchant__clothing","521","2021-04-01 00:00:00"
