"order_id","wdf__client_id","order_status"
"O-F0OBJZ2T","merchant__bigboxretailer","In Cart"
"O-AD45H4O2","merchant__electronics","In Cart"
"O-BUV6KGB8","merchant__clothing","In Cart"
"O-LA239S2D","merchant__clothing","Canceled"
"O-6HSPPT1P","merchant__electronics","Canceled"
"O-LFKHODJI","merchant__bigboxretailer","Canceled"
"O-JPS20WP7","merchant__bigboxretailer","Processed"
"O-FQ4XD99N","merchant__clothing","Processed"
"O-9OD3I1DL","merchant__electronics","Processed"
"O-3G2FNETT","merchant__electronics","Processed"
"O-16K12DST","merchant__bigboxretailer","Processed"
"O-20LQZH5U","merchant__bigboxretailer","Processed"
"O-IKNK0KTZ","merchant__electronics","Processed"
"O-C5SVAJDW","merchant__bigboxretailer","Processed"
"O-PTOS0XAN","merchant__electronics","Processed"
"O-HDKFYOCN","merchant__electronics","Processed"
"O-A6KRTJA1","merchant__bigboxretailer","Processed"
"O-O93HGEIA","merchant__bigboxretailer","Processed"
"O-KOIMY0K2","merchant__electronics","Processed"
"O-OEX3VY28","merchant__bigboxretailer","Processed"
"O-8F48RV47","merchant__electronics","Processed"
"O-T6J5TRQH","merchant__electronics","Processed"
"O-8N4QFMON","merchant__clothing","Processed"
"O-OYVSC0T6","merchant__clothing","Processed"
"O-ZF5XL0JJ","merchant__clothing","Processed"
"O-A8XVUEQL","merchant__bigboxretailer","Processed"
"O-OE9Q2V9Z","merchant__electronics","Processed"
"O-W5YQ7CAW","merchant__bigboxretailer","Processed"
"O-5DCWVV8X","merchant__electronics","Processed"
"O-J5GV9HE9","merchant__electronics","Processed"
"O-4ZQ71IE4","merchant__bigboxretailer","Processed"
"O-2ENAM0C7","merchant__electronics","Processed"
"O-5YM4ARAN","merchant__bigboxretailer","Processed"
"O-3ZBLMKCK","merchant__electronics","Processed"
"O-S2TUSWYX","merchant__electronics","Processed"
"O-R5FWHF9T","merchant__bigboxretailer","Processed"
"O-OGLX1CYN","merchant__bigboxretailer","Processed"
"O-6R49ZGXA","merchant__electronics","Processed"
"O-CI6SLA4K","merchant__electronics","Processed"
"O-EYSXZ7AH","merchant__bigboxretailer","Processed"
"O-PUNVXFFE","merchant__electronics","Processed"
"O-RK8RBATS","merchant__electronics","Processed"
"O-3X7UVD1K","merchant__clothing","Processed"
"O-OXQJ335D","merchant__clothing","Processed"
"O-W5G1WBKZ","merchant__clothing","Processed"
"O-KLIHJIEH","merchant__electronics","Processed"
"O-E3QHDIC1","merchant__bigboxretailer","In Cart"
"O-JE20JN0B","merchant__electronics","Processed"
"O-VIOEQHVK","merchant__electronics","Processed"
"O-EV7I6G4D","merchant__bigboxretailer","Canceled"
"O-Z2Z32CQL","merchant__electronics","In Cart"
"O-CR1778ZA","merchant__bigboxretailer","Processed"
"O-FVESG25R","merchant__bigboxretailer","Processed"
"O-RE7B9BCL","merchant__electronics","Canceled"
"O-OL45ZGJF","merchant__bigboxretailer","Processed"
"O-U86XASU0","merchant__electronics","Processed"
"O-L41RERC7","merchant__electronics","Processed"
"O-7WWF49AM","merchant__bigboxretailer","Processed"
"O-L5F7D3PW","merchant__bigboxretailer","Processed"
"O-KD672TKY","merchant__electronics","Processed"
"O-VWAVMRYY","merchant__electronics","Processed"
"O-3H2XL9E3","merchant__electronics","Processed"
"O-355XZHZJ","merchant__electronics","Processed"
"O-KEXLSNBC","merchant__clothing","Processed"
"O-JULDEP3W","merchant__clothing","Processed"
"O-GSYJ3KKI","merchant__electronics","Processed"
"O-801XZS0O","merchant__clothing","Processed"
"O-GOGH3H1G","merchant__clothing","Processed"
"O-OPLHJUYW","merchant__electronics","Processed"
"O-HZM77M0P","merchant__electronics","Processed"
"O-WB0Y7ELJ","merchant__electronics","Processed"
"O-LWK7Y7BT","merchant__electronics","Processed"
"O-ZA086CAF","merchant__bigboxretailer","Processed"
"O-WHTV1631","merchant__bigboxretailer","Processed"
"O-RY8BH5GD","merchant__bigboxretailer","Processed"
"O-4JYS2XEB","merchant__bigboxretailer","Processed"
"O-849JPTO6","merchant__bigboxretailer","Processed"
"O-GV07NRSC","merchant__electronics","In Cart"
"O-EDPZ3JXW","merchant__electronics","Processed"
"O-4NB5PPD3","merchant__electronics","Processed"
"O-ZJIRQM4J","merchant__bigboxretailer","Processed"
"O-871HVADV","merchant__electronics","Processed"
"O-PSS3OEFM","merchant__electronics","Processed"
"O-RTSACM0H","merchant__bigboxretailer","Processed"
"O-8ZRQJTVO","merchant__electronics","Processed"
"O-BJ9OOIU5","merchant__bigboxretailer","Processed"
"O-Q6YOM4TY","merchant__bigboxretailer","Processed"
"O-OWN1UX10","merchant__electronics","Processed"
"O-GCHQ0FHI","merchant__bigboxretailer","Processed"
"O-3F3AWSOE","merchant__bigboxretailer","Processed"
"O-1CMW0JQJ","merchant__electronics","Processed"
"O-919NXYSF","merchant__bigboxretailer","Processed"
"O-2S8PS6QO","merchant__electronics","Processed"
"O-O3F9D2M8","merchant__clothing","Processed"
"O-07DK5IZQ","merchant__electronics","Processed"
"O-L4CV7J44","merchant__clothing","Processed"
"O-TW6NW2XG","merchant__clothing","Processed"
"O-3FWN37KR","merchant__bigboxretailer","Processed"
"O-BJD83TKV","merchant__electronics","Processed"
"O-LKYJTDLI","merchant__clothing","Processed"
"O-NS1MXCFE","merchant__clothing","Processed"
"O-2WM2F085","merchant__electronics","Processed"
"O-LKDF5AC0","merchant__bigboxretailer","Processed"
"O-509EECHV","merchant__bigboxretailer","Processed"
"O-8QVKJRZS","merchant__electronics","Processed"
"O-O8ZWKD7T","merchant__electronics","Processed"
"O-53DP4PR6","merchant__electronics","Processed"
"O-NBYZG3AQ","merchant__electronics","Canceled"
"O-699XP2OQ","merchant__electronics","Processed"
"O-03ITERNG","merchant__bigboxretailer","Processed"
"O-PBFMZTU7","merchant__electronics","Processed"
"O-FO2E98F8","merchant__clothing","Processed"
"O-FUURDMC4","merchant__electronics","Processed"
"O-3TAIV3AE","merchant__electronics","Processed"
"O-UOWAA8ZS","merchant__electronics","Processed"
"O-0FX44Q6L","merchant__bigboxretailer","Canceled"
"O-OY9C5L5J","merchant__bigboxretailer","Processed"
"O-TMUMY3PY","merchant__electronics","Processed"
"O-SQ9PJ02A","merchant__electronics","Processed"
"O-THV8WEAA","merchant__bigboxretailer","Processed"
"O-XCUX2GXL","merchant__clothing","Processed"
"O-785RTRB9","merchant__bigboxretailer","Processed"
"O-S0GYGYL6","merchant__clothing","In Cart"
"O-XQEK4LC7","merchant__electronics","Processed"
"O-NMVRWRJQ","merchant__bigboxretailer","Processed"
"O-8HMCIHBW","merchant__electronics","In Cart"
"O-A9UPWT7N","merchant__electronics","Processed"
"O-Q5LXENJJ","merchant__electronics","Processed"
"O-OA9PMUK3","merchant__bigboxretailer","In Cart"
"O-T6B4J1YX","merchant__electronics","Processed"
"O-0UYEN8TJ","merchant__electronics","Processed"
"O-PGLG0ZBM","merchant__electronics","Processed"
"O-A0EGRIXN","merchant__electronics","Processed"
"O-R7SV4Q7Z","merchant__bigboxretailer","Processed"
"O-YG2D15CS","merchant__bigboxretailer","Processed"
"O-7IJTZ0QX","merchant__electronics","Processed"
"O-UP5VZATP","merchant__electronics","Processed"
"O-A99I597P","merchant__electronics","Processed"
"O-SE0S7FUX","merchant__bigboxretailer","Processed"
"O-RUAMUNW0","merchant__clothing","Canceled"
"O-DE0JILEE","merchant__electronics","Processed"
"O-4XSQ08CR","merchant__bigboxretailer","Processed"
"O-6OMLSRPY","merchant__electronics","Processed"
"O-09VMIA4R","merchant__electronics","Processed"
"O-CWVN2468","merchant__clothing","Processed"
"O-0RE71WGO","merchant__electronics","Canceled"
"O-H4XZP5CC","merchant__bigboxretailer","Processed"
"O-VQOOI3RR","merchant__clothing","Processed"
"O-5T8KXBWT","merchant__electronics","Processed"
"O-C1OA9IPA","merchant__electronics","Processed"
"O-XFVOBVG1","merchant__electronics","Processed"
"O-GVGXY2DM","merchant__bigboxretailer","Processed"
"O-X6EMZ87U","merchant__electronics","Processed"
"O-GMZMSLSP","merchant__electronics","Processed"
"O-YLULHZQ4","merchant__bigboxretailer","Processed"
"O-TO7FUMWX","merchant__bigboxretailer","Processed"
"O-K06GSIIY","merchant__bigboxretailer","Processed"
"O-AGOEL5XW","merchant__bigboxretailer","Processed"
"O-G6IZQB3O","merchant__electronics","Processed"
"O-JB7FBRAF","merchant__electronics","Processed"
"O-ZJU74FX5","merchant__clothing","Processed"
"O-3LESKY1U","merchant__electronics","In Cart"
"O-XBMREC1C","merchant__electronics","Processed"
"O-SSLNFT4R","merchant__clothing","Processed"
"O-BW8L5485","merchant__clothing","Processed"
"O-82UO5ORW","merchant__bigboxretailer","Canceled"
"O-AGAT822O","merchant__electronics","Processed"
"O-FI8LC0BS","merchant__electronics","Processed"
"O-F91HW5E1","merchant__clothing","Processed"
"O-1AYSPSJ5","merchant__bigboxretailer","Processed"
"O-7PBAZW4B","merchant__clothing","Processed"
"O-DFP4W9ML","merchant__electronics","Processed"
"O-MZWTGMV7","merchant__electronics","Processed"
"O-EP90BAOP","merchant__electronics","Processed"
"O-66A2XPKE","merchant__electronics","Processed"
"O-6RD7MO7N","merchant__electronics","Canceled"
"O-IFTSQPPM","merchant__electronics","Processed"
"O-63UBY08G","merchant__bigboxretailer","Processed"
"O-6XU0MVN4","merchant__electronics","Processed"
"O-U5PW1MXB","merchant__electronics","Processed"
"O-NOSKEDP0","merchant__bigboxretailer","Processed"
"O-BRC5GVY3","merchant__bigboxretailer","In Cart"
"O-2VA5MAN9","merchant__bigboxretailer","Processed"
"O-8CCDNEBU","merchant__bigboxretailer","Processed"
"O-6HYJXQ2I","merchant__bigboxretailer","Processed"
"O-QSQ78PWV","merchant__electronics","In Cart"
"O-XGUVC778","merchant__electronics","Processed"
"O-MTQQ5Q3I","merchant__clothing","Processed"
"O-4LX9N4H3","merchant__electronics","Processed"
"O-P6K018JV","merchant__bigboxretailer","Processed"
