"return_id","order__order_id","product__product_id","customer__customer_id","return_unit_cost","return_unit_quantity","wdf__client_id","return_unit_paid_amount","date","return_date"
"R-JJC78FJX","O-MCSZ7F80","P-ISSHH50H","C-7YPDIBK8","216.88","7","merchant__clothing","168.47","2021-08-03 11:32:28","2021-08-03 11:32:28"
"R-451BPPUQ","O-DAW0ZT6Q","P-4NZA2QGO","C-4RJNAW6R","97.29","4","merchant__electronics","704.69","2021-08-04 13:33:23","2021-08-04 13:33:23"
"R-NTQEWEFD","O-83RHAAF1","P-KW7T33TH","C-7YPDIBK8","463.5","3","merchant__clothing","377.8","2021-08-04 17:56:45","2021-08-04 17:56:45"
"R-9ONQRH6V","O-N5FDGU9S","P-WJ02AIHW","C-S6OGKTV1","21.14","2","merchant__electronics","616.32","2021-08-05 08:12:52","2021-08-05 08:12:52"
"R-0JN4UTH5","O-6QWM95JZ","P-7C6SF1AO","C-POWBCK4J","39.86","10","merchant__bigboxretailer","183.82","2021-08-05 08:32:09","2021-08-05 08:32:09"
"R-K75K964W","O-MCSZ7F80","P-FKPTQI59","C-7YPDIBK8","388.42","4","merchant__clothing","438.39","2021-08-05 10:51:11","2021-08-05 10:51:11"
"R-QUCLNCGZ","O-IA2NA3ZS","P-6YXUDZDH","C-K1O6QMFR","29.98","3","merchant__bigboxretailer","792.15","2021-08-05 14:39:41","2021-08-05 14:39:41"
"R-GIRW7KI2","O-83RHAAF1","P-K1125O1E","C-7YPDIBK8","120.63","8","merchant__clothing","415.96","2021-08-05 18:41:21","2021-08-05 18:41:21"
"R-R3FSHX7W","O-COJTZ2S2","P-ZHBUWTA0","C-ZPWYAF04","275.01","9","merchant__electronics","285.88","2021-08-06 05:35:53","2021-08-06 05:35:53"
"R-2R6UXY01","O-83RHAAF1","P-3UGI5Q6N","C-7YPDIBK8","394.2","7","merchant__clothing","561.38","2021-08-06 16:22:51","2021-08-06 16:22:51"
"R-20KR1QPN","O-A8N7N8SR","P-MC5L29EJ","C-KMPFKTIQ","676.66","3","merchant__bigboxretailer","754.44","2021-08-07 13:20:49","2021-08-07 13:20:49"
"R-OJGY5W7F","O-04HI4537","P-Z1MH6RU4","C-4VL3L6YG","154.7","3","merchant__bigboxretailer","382.54","2021-08-07 19:39:21","2021-08-07 19:39:21"
"R-SSJ6ZSJP","O-N5FDGU9S","P-WXWJ1PQH","C-S6OGKTV1","722.83","9","merchant__electronics","620.42","2021-08-08 07:54:57","2021-08-08 07:54:57"
"R-TI33RI7Q","O-RYPNFJPE","P-Z59F8USY","C-36NAG0QK","24.42","5","merchant__electronics","115.27","2021-08-08 21:22:59","2021-08-08 21:22:59"
"R-IIY9ZWC4","O-2CSEO6K0","P-WJ02AIHW","C-7DYJAGLA","133.72","9","merchant__electronics","300.23","2021-08-08 21:54:36","2021-08-08 21:54:36"
"R-N1TZ8X37","O-6QWM95JZ","P-1RZN2MS3","C-POWBCK4J","201.26","3","merchant__bigboxretailer","126.19","2021-08-09 09:18:25","2021-08-09 09:18:25"
"R-ZNBBVS5C","O-QCNMO1HN","P-EHKJYGAL","C-E94ILFWE","83.84","1","merchant__clothing","189.81","2021-08-09 11:39:07","2021-08-09 11:39:07"
"R-CTSCAIM0","O-KHXMSDJG","P-1RZN2MS3","C-KMPFKTIQ","370.83","2","merchant__bigboxretailer","291.16","2021-08-09 12:04:40","2021-08-09 12:04:40"
"R-TB136CEX","O-6Y1ELEGW","P-2PS6UREM","C-EXSDKRDX","50.83","3","merchant__electronics","134.28","2021-08-09 14:51:39","2021-08-09 14:51:39"
"R-6Y13MZR3","O-5RGM4A9K","P-I1EK2RA1","C-ID511SV3","108.89","9","merchant__electronics","124.33","2021-08-09 18:13:13","2021-08-09 18:13:13"
"R-UJ00OLRY","O-6CDXK6WF","P-CF5SF6B1","C-754UJQC8","346.1","9","merchant__bigboxretailer","364.56","2021-08-09 20:09:41","2021-08-09 20:09:41"
"R-KP9JU31D","O-D48XU64I","P-4NZA2QGO","C-S6OGKTV1","142.7","8","merchant__electronics","854.52","2021-08-09 22:49:34","2021-08-09 22:49:34"
"R-8BAFBHS7","O-6CDXK6WF","P-1DCQEQ1D","C-754UJQC8","109.01","8","merchant__bigboxretailer","426.82","2021-08-10 06:00:09","2021-08-10 06:00:09"
"R-BLD5DWQ2","O-QCNMO1HN","P-AOCIVY7V","C-E94ILFWE","11.59","7","merchant__clothing","615.96","2021-08-10 09:30:33","2021-08-10 09:30:33"
"R-N5MNT1SG","O-KHXMSDJG","P-Z1MH6RU4","C-KMPFKTIQ","96.16","7","merchant__bigboxretailer","548.99","2021-08-10 10:45:03","2021-08-10 10:45:03"
"R-OMC9J96W","O-D48XU64I","P-3QEYGQT6","C-S6OGKTV1","127.8","6","merchant__electronics","195.16","2021-08-10 15:15:35","2021-08-10 15:15:35"
"R-B8KYRFRY","O-6CDXK6WF","P-Z1MH6RU4","C-754UJQC8","345.68","8","merchant__bigboxretailer","556.86","2021-08-10 18:51:17","2021-08-10 18:51:17"
