date,temp
2022-11-01,10.5
2022-11-02,10.2
2022-11-03,7.7
2022-11-04,8.5
2022-11-05,8.1
2022-11-06,4.7
2022-11-07,8.9
2022-11-08,10.1
2022-11-09,7.6
2022-11-10,9.9
2022-11-11,7.7
2022-11-12,4.4
2022-11-13,4
2022-11-14,6.5
2022-11-15,3.5
2022-11-16,5.5
2022-11-17,4.7
2022-11-18,2.4
2022-11-19,-1.9
2022-11-20,-1.7
2022-11-21,3
2022-11-22,1.6
2022-11-23,3.7
2022-11-24,5.1
2022-11-25,5
2022-11-26,6.4
2022-11-27,1.4
2022-11-28,2.1
2022-11-29,3.5
2022-11-30,2.3
2022-12-01,1.7
2022-12-02,0.3
2022-12-03,0.4
2022-12-04,4.7
2022-12-05,5
2022-12-06,3.5
2022-12-07,2.8
2022-12-08,2.4
2022-12-09,-0.2
2022-12-10,0.8
2022-12-11,-2.1
2022-12-12,-3.6
2022-12-13,-8.1
2022-12-14,-6.1
2022-12-15,-4.2
2022-12-16,-3.3
2022-12-17,-2.9
2022-12-18,-7.5
2022-12-19,-3.5
2022-12-20,-0.8
2022-12-21,0.6
2022-12-22,6
2022-12-23,8.1
2022-12-24,9.1
2022-12-25,7.4
2022-12-26,9.1
2022-12-27,4.1
2022-12-28,4.2
2022-12-29,9.1
2022-12-30,7.8
2022-12-31,13.3
2023-01-01,13.6
2023-01-02,8.8
2023-01-03,7.7
2023-01-04,5.3
2023-01-05,9.9
2023-01-06,8.6
2023-01-07,7.7
2023-01-08,4.6
2023-01-09,4.9
2023-01-10,4.9
2023-01-11,4.7
2023-01-12,7.3
2023-01-13,8.7
2023-01-14,6.8
2023-01-15,7.7
2023-01-16,3.7
2023-01-17,3.3
2023-01-18,1.4
2023-01-19,-0.4
2023-01-20,-0.8
2023-01-21,-1.1
2023-01-22,-0.1
2023-01-23,0.8
2023-01-24,1.4
2023-01-25,1.2
2023-01-26,0.2
2023-01-27,-0.5
2023-01-28,-1.1
2023-01-29,-2.6
2023-01-30,1.4
2023-01-31,3.2
2023-02-01,4
2023-02-02,3.8
2023-02-03,4.5
2023-02-04,2
2023-02-05,-2
2023-02-06,-3.8
2023-02-07,-4
2023-02-08,-3.4
2023-02-09,-1.4
2023-02-10,-1.2
2023-02-11,3.2
2023-02-12,5.9
2023-02-13,5.4
2023-02-14,3.3
2023-02-15,0.9
2023-02-16,2.1
2023-02-17,9
2023-02-18,11
2023-02-19,7.1
2023-02-20,7.7
2023-02-21,9.5
2023-02-22,9
2023-02-23,8.1
2023-02-24,8.6
2023-02-25,2.7
2023-02-26,0
2023-02-27,-0.7
2023-02-28,0.4
2023-03-01,1.3
2023-03-02,3.2
2023-03-03,0.6
2023-03-04,0.7
2023-03-05,2.4
2023-03-06,1.9
2023-03-07,4.1
2023-03-08,4.6
2023-03-09,9.1
2023-03-10,9.5
2023-03-11,1.9
2023-03-12,2.2
2023-03-13,10.7
2023-03-14,9.9
2023-03-15,2.7
2023-03-16,2.3
2023-03-17,6.1
2023-03-18,6
2023-03-19,6.8
2023-03-20,9.5
2023-03-21,9.8
2023-03-22,11.7
2023-03-23,12.9
2023-03-24,12.6
2023-03-25,9.4
2023-03-26,9.7
2023-03-27,6.8
2023-03-28,5.6
2023-03-29,7.9
2023-03-30,9.4
2023-03-31,12.9
2023-04-01,14.2
2023-04-02,8.6
2023-04-03,7.3
2023-04-04,6.1
2023-04-05,8.8
2023-04-06,7.6
2023-04-07,8.3
2023-04-08,7.9
2023-04-09,8.4
2023-04-10,8.9
2023-04-11,9.3
2023-04-12,9.4
2023-04-13,9.4
2023-04-14,9.6
2023-04-15,10.3
2023-04-16,10.6
2023-04-17,9.8
2023-04-18,9.5
2023-04-19,10.3
2023-04-20,10.8
2023-04-21,11.4
2023-04-22,11.6
2023-04-23,12.2
2023-04-24,12.5
2023-04-25,12.9
2023-04-26,13.2
2023-04-27,12.9
2023-04-28,12.8
2023-04-29,13.1
2023-04-30,14.3
